iata_code,airport_name,city_name,country_name
AAI,Arraias,Arraias,Botswana
AAK,Aranuka,Aranuka,Kiribati
AAV,Alah,Alah,Philippines
AAW,Abbottabad,Abbottabad,Pakistan
ABG,Abingdon,Abingdon,Australia
ABH,Alpha,Alpha,Australia
ACS,Achinsk,Achinsk,Russia
ADB,Adnan Menderes,Izmir,Turkey
ADO,Andamooka,Andamooka,Australia
ADR,Andrews,Andrews,United States
AEK,Aseki,Aseki,Papua New Guinea
AFR,Afore,Afore,Papua New Guinea
AGG,Angoram,Angoram,Papua New Guinea
BLR,Bengaluru,Bengaluru,India
AAE,Les Salines,Annaba,Algeria
AAM,Malamala,Malamala,South Africa
AAN,Al Ain,Alain,United Arab Emirates
AAO,Anaco,Anaco,Venezuela
AAQ,Anapa,Anapa,Russia
AAR,Aarhus,Aarhus,Denmark
AAX,Araxa,Araxa,Brazil
AAY,Al Ghaydah,Alghaydah,Yemen
ABA,Abakan,Abakan,Russia
ABC,Los Llanos,Albacete,Spain
ABE,Lehigh Valley International,Allentownbthlehm,United States
ABF,Abaiang,Abaiang,Kiribati
ABI,Abilene,Abilene,United States
ABJ,Felix Boigny,Abidjan,Cote D'Ivoire (Ivory Coast)
ABL,Ambler,Ambler,United States
ABM,Injinoo,Bamaga,Australia
ABQ,Albuquerque,Albuquerque,United States
ABS,Abu Simbel,Abusimbel,Egypt
ABT,Al Aqiq,Al-Baha,Saudi Arabia
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria
ABX,Albury,Albury,Australia
ABY,Dougherty County,Albany,United States
ABZ,Dyce,Aberdeen,United Kingdom
ACC,Kotoka,Accra,Ghana
ACD,Acandi,Acandi,Colombia
ACE,Lanzarote,Lanzarote,Spain
ACH,Altenrhein,Altenrhein,Switzerland
ACI,The Blaye,Alderney,United Kingdom
ACK,Nantucket,Nantucket,United States
ACP,Sahand,Maragheh,Iran
ACT,Waco,Waco,United States
ACV,Arcata,Arcata,United States
ACX,Xingyi,Xingyi,China
ACZ,Zabol,Zabol,Iran
ADA,Adana,Adana,Turkey
ADD,Bole International,Addisababa,Ethiopia
ADE,Aden,Aden,Yemen
ADF,Adiyaman,Adiyaman,Turkey
ADH,Aldan,Aldan,Russia
ADK,Adak Island,Adakisland,United States
ADL,Adelaide,Adelaide,Australia
ADM,Ardmore,Ardmore,United States
ADQ,Kodiak,Kodiak,United States
ADU,Ardabil,Ardabil,Iran
ADY,Alldays,Alldays,South Africa
AEA,Abemamaatoll,Abemamaatoll,Kiribati
AEH,Abecher,Abecher,Chad
AEO,Aiounelatrouss,Aiounelatrouss,Mauritania
AEP,Jorge Newbery Airport,Buenosaires,Argentina
AER,Adler,Sochi,Russia
